0 U (0, 0) [0, 0]
867 L (22, 1) [0, 0]
868 U (22, 2) [0, 2]
869 R (23, 2) [1, 1]
870 U (23, 3) [0, 0]
871 R (24, 3) [0, 0]
872 D (24, 2) [0, 0]
873 R (25, 2) [0, 0]
874 U (25, 3) [0, 0]
875 L (24, 3) [1, 1]
876 U (24, 4) [0, 0]
877 R (25, 4) [0, 0]
878 D (25, 3) [1, 1]
879 R (26, 3) [0, 0]
880 U (26, 4) [0, 0]
881 R (27, 4) [0, 0]
882 D (27, 3) [0, 0]
883 L (26, 3) [1, 1]
884 D (26, 2) [0, 0]
885 L (25, 2) [1, 1]
886 U (25, 3) [0, 2]
887 R (26, 3) [0, 2]
888 D (26, 2) [1, 1]
889 L (25, 2) [0, 2]
890 U (25, 3) [1, 3]
891 L (24, 3) [0, 2]
892 U (24, 4) [1, 1]
893 L (23, 4) [0, 0]
894 D (23, 3) [1, 1]
895 R (24, 3) [1, 3]
896 D (24, 2) [1, 1]
897 R (25, 2) [1, 3]
898 U (25, 3) [0, 4]
899 L (24, 3) [0, 4]
900 U (24, 4) [0, 2]
901 L (23, 4) [1, 1]
902 D (23, 3) [0, 2]
903 R (24, 3) [1, 5]
904 U (24, 4) [1, 3]
905 R (25, 4) [1, 1]
906 D (25, 3) [1, 5]
907 L (24, 3) [0, 6]
908 D (24, 2) [0, 2]
909 L (23, 2) [0, 2]
910 U (23, 3) [1, 3]
911 L (22, 3) [0, 2]
912 D (22, 2) [1, 3]
913 R (23, 2) [1, 3]
914 D (23, 1) [1, 3]
915 L (22, 1) [1, 1]
916 U (22, 2) [0, 4]
917 L (21, 2) [1, 3]
918 D (21, 1) [1, 1]
919 R (22, 1) [0, 2]
920 D (22, 0) [0, 0]
921 R (23, 0) [0, 2]
922 D (23, -1) [0, 0]
923 R (24, -1) [0, 0]
924 U (24, 0) [0, 2]
925 L (23, 0) [1, 3]
926 U (23, 1) [0, 4]
927 R (24, 1) [0, 2]
928 U (24, 2) [1, 3]
929 R (25, 2) [0, 4]
930 D (25, 1) [0, 0]
931 L (24, 1) [1, 3]
932 D (24, 0) [1, 3]
933 R (25, 0) [0, 0]
934 D (25, -1) [0, 0]
935 L (24, -1) [1, 1]
936 U (24, 0) [0, 4]
937 R (25, 0) [1, 1]
938 U (25, 1) [1, 1]
939 R (26, 1) [0, 0]
940 D (26, 0) [0, 0]
941 L (25, 0) [0, 2]
942 D (25, -1) [1, 1]
943 L (24, -1) [0, 2]
944 U (24, 0) [1, 5]
945 L (23, 0) [0, 4]
946 D (23, -1) [1, 1]
947 R (24, -1) [1, 3]
948 D (24, -2) [0, 0]
949 R (25, -2) [0, 0]
950 D (25, -3) [0, 0]
951 L (24, -3) [0, 0]
952 U (24, -2) [1, 1]
953 R (25, -2) [1, 1]
954 U (25, -1) [0, 2]
955 L (24, -1) [0, 4]
956 U (24, 0) [0, 6]
957 L (23, 0) [1, 5]
958 U (23, 1) [1, 5]
959 L (22, 1) [1, 3]
960 D (22, 0) [1, 1]
961 R (23, 0) [0, 6]
962 D (23, -1) [0, 2]
963 R (24, -1) [1, 5]
964 D (24, -2) [0, 2]
965 L (23, -2) [0, 0]
966 U (23, -1) [1, 3]
967 L (22, -1) [0, 0]
968 D (22, -2) [0, 0]
969 R (23, -2) [1, 1]
970 D (23, -3) [0, 0]
971 R (24, -3) [1, 1]
972 U (24, -2) [1, 3]
973 L (23, -2) [0, 2]
974 D (23, -3) [1, 1]
975 R (24, -3) [0, 2]
976 D (24, -4) [0, 0]
977 R (25, -4) [0, 0]
978 D (25, -5) [0, 0]
979 L (24, -5) [0, 0]
980 D (24, -6) [0, 0]
981 L (23, -6) [0, 0]
982 D (23, -7) [0, 0]
983 R (24, -7) [0, 0]
984 D (24, -8) [0, 0]
985 R (25, -8) [0, 0]
986 D (25, -9) [0, 0]
987 L (24, -9) [0, 0]
988 U (24, -8) [1, 1]
989 L (23, -8) [0, 0]
990 U (23, -7) [1, 1]
991 L (22, -7) [0, 0]
992 U (22, -6) [0, 0]
993 R (23, -6) [1, 1]
994 U (23, -5) [0, 0]
995 R (24, -5) [1, 1]
996 U (24, -4) [1, 1]
997 L (23, -4) [0, 0]
998 U (23, -3) [0, 2]
999 L (22, -3) [0, 0]
1000 U (22, -2) [1, 1]
1001 R (23, -2) [1, 3]
1002 U (23, -1) [0, 4]
1003 R (24, -1) [0, 6]
1004 U (24, 0) [1, 7]
1005 L (23, 0) [1, 7]
1006 U (23, 1) [0, 6]
1007 L (22, 1) [0, 4]
1008 U (22, 2) [1, 5]
1009 L (21, 2) [0, 4]
1010 U (21, 3) [0, 4]
1011 L (20, 3) [0, 2]
1012 D (20, 2) [1, 3]
1013 R (21, 2) [1, 5]
1014 U (21, 3) [1, 5]
1015 R (22, 3) [1, 3]
1016 D (22, 2) [0, 6]
1017 L (21, 2) [0, 6]
1018 U (21, 3) [0, 6]
1019 L (20, 3) [1, 3]
1020 D (20, 2) [0, 4]
1021 L (19, 2) [1, 1]
1022 D (19, 1) [1, 1]
1023 L (18, 1) [1, 1]
1024 U (18, 2) [1, 1]
1025 R (19, 2) [0, 2]
1026 U (19, 3) [1, 1]
1027 L (18, 3) [0, 2]
1028 U (18, 4) [0, 2]
1029 R (19, 4) [1, 1]
1030 D (19, 3) [0, 2]
1031 L (18, 3) [1, 3]
1032 U (18, 4) [1, 3]
1033 R (19, 4) [0, 2]
1034 U (19, 5) [1, 1]
1035 R (20, 5) [1, 3]
1036 U (20, 6) [0, 0]
1037 L (19, 6) [0, 0]
1038 U (19, 7) [0, 0]
1039 R (20, 7) [0, 0]
1040 U (20, 8) [0, 0]
1041 R (21, 8) [0, 0]
1042 U (21, 9) [0, 0]
1043 L (20, 9) [0, 0]
1044 U (20, 10) [0, 0]
1045 L (19, 10) [0, 0]
1046 D (19, 9) [0, 0]
1047 L (18, 9) [0, 0]
1048 U (18, 10) [0, 0]
1049 R (19, 10) [1, 1]
1050 U (19, 11) [0, 0]
1051 R (20, 11) [0, 0]
1052 D (20, 10) [1, 1]
1053 R (21, 10) [0, 0]
1054 D (21, 9) [1, 1]
1055 R (22, 9) [0, 0]
1056 D (22, 8) [0, 0]
1057 L (21, 8) [1, 1]
1058 D (21, 7) [0, 0]
1059 L (20, 7) [1, 1]
1060 U (20, 8) [1, 1]
1061 L (19, 8) [0, 0]
1062 U (19, 9) [1, 1]
1063 R (20, 9) [1, 1]
1064 U (20, 10) [0, 2]
1065 L (19, 10) [0, 2]
1066 U (19, 11) [1, 1]
1067 L (18, 11) [0, 0]
1068 D (18, 10) [1, 1]
1069 R (19, 10) [1, 3]
1070 D (19, 9) [0, 2]
1071 R (20, 9) [0, 2]
1072 D (20, 8) [0, 2]
1073 R (21, 8) [0, 2]
1074 U (21, 9) [0, 2]
1075 R (22, 9) [1, 1]
1076 U (22, 10) [0, 0]
1077 L (21, 10) [1, 1]
1078 D (21, 9) [1, 3]
1079 L (20, 9) [1, 3]
1080 U (20, 10) [1, 3]
1081 L (19, 10) [0, 4]
1082 U (19, 11) [0, 2]
1083 R (20, 11) [1, 1]
1084 U (20, 12) [0, 0]
1085 R (21, 12) [0, 0]
1086 U (21, 13) [0, 0]
1087 R (22, 13) [0, 0]
1088 U (22, 14) [0, 0]
1089 L (21, 14) [0, 0]
1090 D (21, 13) [1, 1]
1091 L (20, 13) [0, 0]
1092 U (20, 14) [0, 0]
1093 R (21, 14) [1, 1]
1094 D (21, 13) [0, 2]
1095 L (20, 13) [1, 1]
1096 D (20, 12) [1, 1]
1097 R (21, 12) [1, 1]
1098 U (21, 13) [1, 3]
1099 L (20, 13) [0, 2]
1100 U (20, 14) [1, 1]
1101 R (21, 14) [0, 2]
1102 D (21, 13) [0, 4]
1103 L (20, 13) [1, 3]
1104 U (20, 14) [0, 2]
1105 R (21, 14) [1, 3]
1106 D (21, 13) [1, 5]
1107 L (20, 13) [0, 4]
1108 D (20, 12) [0, 2]
1109 R (21, 12) [0, 2]
1110 D (21, 11) [0, 0]
1111 R (22, 11) [0, 0]
1112 D (22, 10) [1, 1]
1113 R (23, 10) [0, 0]
1114 U (23, 11) [0, 0]
1115 R (24, 11) [0, 0]
1116 U (24, 12) [0, 0]
1117 L (23, 12) [0, 0]
1118 U (23, 13) [0, 0]
1119 R (24, 13) [0, 0]
1120 D (24, 12) [1, 1]
1121 R (25, 12) [0, 0]
1122 D (25, 11) [0, 0]
1123 R (26, 11) [0, 0]
1124 D (26, 10) [0, 0]
1125 L (25, 10) [0, 0]
1126 U (25, 11) [1, 1]
1127 L (24, 11) [1, 1]
1128 D (24, 10) [0, 0]
1129 L (23, 10) [1, 1]
1130 D (23, 9) [0, 0]
1131 R (24, 9) [0, 0]
1132 D (24, 8) [0, 0]
1133 L (23, 8) [0, 0]
1134 U (23, 9) [1, 1]
1135 L (22, 9) [0, 2]
1136 U (22, 10) [0, 2]
1137 L (21, 10) [0, 2]
1138 D (21, 9) [0, 4]
1139 L (20, 9) [0, 4]
1140 D (20, 8) [1, 3]
1141 R (21, 8) [1, 3]
1142 U (21, 9) [1, 5]
1143 L (20, 9) [1, 5]
1144 D (20, 8) [0, 4]
1145 R (21, 8) [0, 4]
1146 D (21, 7) [1, 1]
1147 R (22, 7) [0, 0]
1148 D (22, 6) [0, 0]
1149 L (21, 6) [0, 0]
1150 U (21, 7) [0, 2]
1151 L (20, 7) [0, 2]
1152 D (20, 6) [1, 1]
1153 L (19, 6) [1, 1]
1154 U (19, 7) [1, 1]
1155 L (18, 7) [0, 0]
1156 U (18, 8) [0, 0]
1157 L (17, 8) [0, 0]
1158 U (17, 9) [0, 0]
1159 R (18, 9) [1, 1]
1160 U (18, 10) [0, 2]
1161 R (19, 10) [1, 5]
1162 U (19, 11) [1, 3]
1163 R (20, 11) [0, 2]
1164 U (20, 12) [1, 3]
1165 R (21, 12) [1, 3]
1166 U (21, 13) [0, 6]
1167 R (22, 13) [1, 1]
1168 U (22, 14) [1, 1]
1169 L (21, 14) [0, 4]
1170 D (21, 13) [1, 7]
1171 R (22, 13) [0, 2]
1172 U (22, 14) [0, 2]
1173 L (21, 14) [1, 5]
1174 D (21, 13) [0, 8]
1175 R (22, 13) [1, 3]
1176 D (22, 12) [0, 0]
1177 L (21, 12) [0, 4]
1178 D (21, 11) [1, 1]
1179 L (20, 11) [1, 3]
1180 D (20, 10) [0, 4]
1181 R (21, 10) [1, 3]
1182 U (21, 11) [0, 2]
1183 R (22, 11) [1, 1]
1184 D (22, 10) [1, 3]
1185 R (23, 10) [0, 2]
1186 U (23, 11) [1, 1]
1187 L (22, 11) [0, 2]
1188 U (22, 12) [1, 1]
1189 R (23, 12) [1, 1]
1190 D (23, 11) [0, 2]
1191 L (22, 11) [1, 3]
1192 U (22, 12) [0, 2]
1193 R (23, 12) [0, 2]
1194 U (23, 13) [1, 1]
1195 R (24, 13) [1, 1]
1196 U (24, 14) [0, 0]
1197 L (23, 14) [0, 0]
1198 U (23, 15) [0, 0]
1199 L (22, 15) [0, 0]
1200 D (22, 14) [1, 3]
1201 R (23, 14) [1, 1]
1202 D (23, 13) [0, 2]
1203 L (22, 13) [0, 4]
1204 U (22, 14) [0, 4]
1205 L (21, 14) [0, 6]
1206 D (21, 13) [1, 9]
1207 R (22, 13) [1, 5]
1208 U (22, 14) [1, 5]
1209 L (21, 14) [1, 7]
1210 D (21, 13) [0, 10]
1211 R (22, 13) [0, 6]
1212 U (22, 14) [0, 6]
1213 R (23, 14) [0, 2]
1214 D (23, 13) [1, 3]
1215 R (24, 13) [0, 2]
1216 D (24, 12) [0, 2]
1217 R (25, 12) [1, 1]
1218 D (25, 11) [0, 2]
1219 R (26, 11) [1, 1]
1220 D (26, 10) [1, 1]
1221 R (27, 10) [0, 0]
1222 D (27, 9) [0, 0]
1223 L (26, 9) [0, 0]
1224 U (26, 10) [0, 2]
1225 L (25, 10) [1, 1]
1226 D (25, 9) [0, 0]
1227 L (24, 9) [1, 1]
1228 U (24, 10) [1, 1]
1229 L (23, 10) [1, 3]
1230 U (23, 11) [1, 3]
1231 R (24, 11) [0, 2]
1232 D (24, 10) [0, 2]
1233 L (23, 10) [0, 4]
1234 U (23, 11) [0, 4]
1235 R (24, 11) [1, 3]
1236 D (24, 10) [1, 3]
1237 R (25, 10) [0, 2]
1238 U (25, 11) [1, 3]
1239 R (26, 11) [0, 2]
1240 U (26, 12) [0, 0]
1241 L (25, 12) [0, 2]
1242 U (25, 13) [0, 0]
1243 R (26, 13) [0, 0]
1244 D (26, 12) [1, 1]
1245 R (27, 12) [0, 0]
1246 U (27, 13) [0, 0]
1247 L (26, 13) [1, 1]
1248 D (26, 12) [0, 2]
1249 R (27, 12) [1, 1]
1250 U (27, 13) [1, 1]
1251 L (26, 13) [0, 2]
1252 U (26, 14) [0, 0]
1253 R (27, 14) [0, 0]
1254 D (27, 13) [0, 2]
1255 R (28, 13) [0, 0]
1256 D (28, 12) [0, 0]
1257 L (27, 12) [0, 2]
1258 D (27, 11) [0, 0]
1259 L (26, 11) [1, 3]
1260 U (26, 12) [1, 3]
1261 R (27, 12) [1, 3]
1262 U (27, 13) [1, 3]
1263 L (26, 13) [1, 3]
1264 D (26, 12) [0, 4]
1265 L (25, 12) [1, 3]
1266 D (25, 11) [0, 4]
1267 L (24, 11) [0, 4]
1268 U (24, 12) [1, 3]
1269 L (23, 12) [1, 3]
1270 U (23, 13) [0, 4]
1271 L (22, 13) [1, 7]
1272 U (22, 14) [1, 7]
1273 R (23, 14) [1, 3]
1274 D (23, 13) [1, 5]
1275 R (24, 13) [1, 3]
1276 D (24, 12) [0, 4]
1277 L (23, 12) [0, 4]
1278 U (23, 13) [0, 6]
1279 L (22, 13) [0, 8]
1280 D (22, 12) [1, 3]
1281 R (23, 12) [1, 5]
1282 D (23, 11) [1, 5]
1283 L (22, 11) [0, 4]
1284 D (22, 10) [0, 4]
1285 R (23, 10) [1, 5]
1286 D (23, 9) [0, 2]
1287 L (22, 9) [1, 3]
1288 D (22, 8) [1, 1]
1289 R (23, 8) [1, 1]
1290 U (23, 9) [1, 3]
1291 R (24, 9) [0, 2]
1292 U (24, 10) [0, 4]
1293 L (23, 10) [0, 6]
1294 U (23, 11) [0, 6]
1295 R (24, 11) [1, 5]
1296 D (24, 10) [1, 5]
1297 R (25, 10) [1, 3]
1298 D (25, 9) [1, 1]
1299 L (24, 9) [1, 3]
1300 U (24, 10) [0, 6]
1301 L (23, 10) [1, 7]
1302 D (23, 9) [0, 4]
1303 L (22, 9) [0, 4]
1304 U (22, 10) [1, 5]
1305 L (21, 10) [0, 4]
1306 D (21, 9) [0, 6]
1307 R (22, 9) [1, 5]
1308 D (22, 8) [0, 2]
1309 R (23, 8) [0, 2]
1310 U (23, 9) [1, 5]
1311 L (22, 9) [0, 6]
1312 D (22, 8) [1, 3]
1313 R (23, 8) [1, 3]
1314 U (23, 9) [0, 6]
1315 L (22, 9) [1, 7]
1316 D (22, 8) [0, 4]
1317 L (21, 8) [1, 5]
1318 U (21, 9) [1, 7]
1319 L (20, 9) [0, 6]
1320 U (20, 10) [1, 5]
1321 R (21, 10) [1, 5]
1322 U (21, 11) [1, 3]
1323 R (22, 11) [1, 5]
1324 D (22, 10) [0, 6]
1325 L (21, 10) [0, 6]
1326 D (21, 9) [0, 8]
1327 L (20, 9) [1, 7]
1328 U (20, 10) [0, 6]
1329 L (19, 10) [0, 6]
1330 U (19, 11) [0, 4]
1331 L (18, 11) [1, 1]
1332 U (18, 12) [0, 0]
1333 L (17, 12) [0, 0]
1334 D (17, 11) [0, 0]
1335 L (16, 11) [0, 0]
1336 U (16, 12) [0, 0]
1337 R (17, 12) [1, 1]
1338 D (17, 11) [1, 1]
1339 R (18, 11) [0, 2]
1340 D (18, 10) [1, 3]
1341 R (19, 10) [1, 7]
1342 D (19, 9) [1, 3]
1343 R (20, 9) [0, 8]
1344 D (20, 8) [1, 5]
1345 R (21, 8) [0, 6]
1346 D (21, 7) [1, 3]
1347 R (22, 7) [1, 1]
1348 D (22, 6) [1, 1]
1349 L (21, 6) [1, 1]
1350 D (21, 5) [0, 2]
1351 R (22, 5) [0, 0]
1352 U (22, 6) [0, 2]
1353 L (21, 6) [0, 2]
1354 U (21, 7) [0, 4]
1355 L (20, 7) [1, 3]
1356 D (20, 6) [0, 2]
1357 R (21, 6) [1, 3]
1358 D (21, 5) [1, 3]
1359 L (20, 5) [0, 4]
1360 D (20, 4) [0, 4]
1361 L (19, 4) [1, 3]
1362 D (19, 3) [1, 3]
1363 R (20, 3) [0, 4]
1364 D (20, 2) [1, 5]
1365 R (21, 2) [1, 7]
1366 D (21, 1) [0, 2]
1367 L (20, 1) [0, 2]
1368 D (20, 0) [0, 0]
1369 R (21, 0) [0, 0]
1370 D (21, -1) [0, 0]
1371 L (20, -1) [0, 0]
1372 D (20, -2) [0, 0]
1373 R (21, -2) [0, 0]
1374 D (21, -3) [0, 0]
1375 R (22, -3) [1, 1]
1376 D (22, -4) [0, 0]
1377 L (21, -4) [0, 0]
1378 U (21, -3) [1, 1]
1379 L (20, -3) [0, 0]
1380 U (20, -2) [1, 1]
1381 L (19, -2) [1, 1]
1382 D (19, -3) [1, 1]
1383 R (20, -3) [1, 1]
1384 U (20, -2) [0, 2]
1385 R (21, -2) [1, 1]
1386 D (21, -3) [0, 2]
1387 L (20, -3) [0, 2]
1388 U (20, -2) [1, 3]
1389 R (21, -2) [0, 2]
1390 D (21, -3) [1, 3]
1391 L (20, -3) [1, 3]
1392 U (20, -2) [0, 4]
1393 L (19, -2) [0, 2]
1394 D (19, -3) [0, 2]
1395 L (18, -3) [0, 2]
1396 D (18, -4) [1, 1]
1397 R (19, -4) [0, 0]
1398 D (19, -5) [0, 0]
1399 R (20, -5) [0, 0]
1400 D (20, -6) [0, 0]
1401 R (21, -6) [0, 0]
1402 U (21, -5) [0, 0]
1403 R (22, -5) [0, 0]
1404 D (22, -6) [1, 1]
1405 R (23, -6) [0, 2]
1406 D (23, -7) [0, 2]
1407 R (24, -7) [1, 1]
1408 U (24, -6) [1, 1]
1409 L (23, -6) [1, 3]
1410 D (23, -7) [1, 3]
1411 R (24, -7) [0, 2]
1412 D (24, -8) [0, 2]
1413 L (23, -8) [1, 1]
1414 D (23, -9) [0, 0]
1415 R (24, -9) [1, 1]
1416 U (24, -8) [1, 3]
1417 L (23, -8) [0, 2]
1418 D (23, -9) [1, 1]
1419 L (22, -9) [0, 0]
1420 D (22, -10) [0, 0]
1421 R (23, -10) [0, 0]
1422 D (23, -11) [0, 0]
1423 L (22, -11) [0, 0]
1424 D (22, -12) [0, 0]
1425 L (21, -12) [0, 0]
1426 D (21, -13) [0, 0]
1427 R (22, -13) [0, 0]
1428 D (22, -14) [0, 0]
1429 R (23, -14) [0, 0]
1430 D (23, -15) [0, 0]
1431 L (22, -15) [0, 0]
1432 U (22, -14) [1, 1]
1433 L (21, -14) [0, 0]
1434 U (21, -13) [1, 1]
1435 L (20, -13) [0, 0]
1436 U (20, -12) [0, 0]
1437 R (21, -12) [1, 1]
1438 U (21, -11) [0, 0]
1439 R (22, -11) [1, 1]
1440 U (22, -10) [1, 1]
1441 L (21, -10) [0, 0]
1442 U (21, -9) [0, 0]
1443 L (20, -9) [0, 0]
1444 U (20, -8) [0, 0]
1445 L (19, -8) [0, 0]
1446 U (19, -7) [0, 0]
1447 R (20, -7) [0, 0]
1448 U (20, -6) [1, 1]
1449 L (19, -6) [0, 0]
1450 D (19, -7) [1, 1]
1451 L (18, -7) [0, 0]
1452 U (18, -6) [0, 0]
1453 R (19, -6) [1, 1]
1454 U (19, -5) [1, 1]
1455 L (18, -5) [0, 0]
1456 U (18, -4) [0, 2]
1457 R (19, -4) [1, 1]
1458 U (19, -3) [1, 3]
1459 R (20, -3) [0, 4]
1460 D (20, -4) [0, 0]
1461 R (21, -4) [1, 1]
1462 U (21, -3) [0, 4]
1463 R (22, -3) [0, 2]
1464 U (22, -2) [0, 2]
1465 L (21, -2) [1, 3]
1466 D (21, -3) [1, 5]
1467 R (22, -3) [1, 3]
1468 D (22, -4) [1, 1]
1469 L (21, -4) [0, 2]
1470 U (21, -3) [0, 6]
1471 R (22, -3) [0, 4]
1472 U (22, -2) [1, 3]
1473 L (21, -2) [0, 4]
1474 U (21, -1) [1, 1]
1475 L (20, -1) [1, 1]
1476 U (20, 0) [1, 1]
1477 R (21, 0) [1, 1]
1478 D (21, -1) [0, 2]
1479 R (22, -1) [1, 1]
1480 U (22, 0) [0, 2]
1481 R (23, 0) [0, 8]
1482 D (23, -1) [1, 5]
1483 L (22, -1) [0, 2]
1484 U (22, 0) [1, 3]
1485 R (23, 0) [1, 9]
1486 D (23, -1) [0, 6]
1487 R (24, -1) [1, 7]
1488 D (24, -2) [0, 4]
1489 L (23, -2) [0, 4]
1490 D (23, -3) [1, 3]
1491 R (24, -3) [1, 3]
1492 U (24, -2) [1, 5]
1493 R (25, -2) [0, 2]
1494 D (25, -3) [1, 1]
1495 L (24, -3) [0, 4]
1496 D (24, -4) [0, 2]
1497 L (23, -4) [1, 1]
1498 U (23, -3) [0, 4]
1499 R (24, -3) [1, 5]
1500 U (24, -2) [0, 6]
1501 L (23, -2) [1, 5]
1502 U (23, -1) [1, 7]
1503 R (24, -1) [0, 8]
1504 D (24, -2) [1, 7]
1505 L (23, -2) [0, 6]
1506 U (23, -1) [0, 8]
1507 R (24, -1) [1, 9]
1508 D (24, -2) [0, 8]
1509 L (23, -2) [1, 7]
1510 U (23, -1) [1, 9]
1511 L (22, -1) [1, 3]
1512 U (22, 0) [0, 4]
1513 L (21, 0) [0, 2]
1514 U (21, 1) [1, 3]
1515 R (22, 1) [1, 5]
1516 U (22, 2) [1, 7]
1517 L (21, 2) [0, 8]
1518 D (21, 1) [0, 4]
1519 L (20, 1) [1, 3]
1520 U (20, 2) [0, 6]
1521 L (19, 2) [1, 3]
1522 U (19, 3) [0, 4]
1523 R (20, 3) [1, 5]
1524 U (20, 4) [1, 5]
1525 R (21, 4) [0, 4]
1526 U (21, 5) [0, 4]
1527 L (20, 5) [1, 5]
1528 D (20, 4) [0, 6]
1529 L (19, 4) [0, 4]
1530 D (19, 3) [1, 5]
1531 R (20, 3) [0, 6]
1532 U (20, 4) [1, 7]
1533 L (19, 4) [1, 5]
1534 U (19, 5) [0, 2]
1535 L (18, 5) [1, 1]
1536 D (18, 4) [0, 4]
1537 L (17, 4) [0, 2]
1538 D (17, 3) [0, 2]
1539 L (16, 3) [1, 1]
1540 D (16, 2) [1, 1]
1541 L (15, 2) [0, 2]
1542 U (15, 3) [0, 0]
1543 L (14, 3) [1, 1]
1544 U (14, 4) [0, 0]
1545 R (15, 4) [1, 1]
1546 D (15, 3) [1, 1]
1547 R (16, 3) [0, 2]
1548 D (16, 2) [0, 2]
1549 L (15, 2) [1, 3]
1550 U (15, 3) [0, 2]
1551 L (14, 3) [0, 2]
1552 U (14, 4) [1, 1]
1553 L (13, 4) [0, 2]
1554 D (13, 3) [1, 3]
1555 R (14, 3) [1, 3]
1556 D (14, 2) [1, 3]
1557 L (13, 2) [0, 4]
1558 U (13, 3) [0, 4]
1559 R (14, 3) [0, 4]
1560 U (14, 4) [0, 2]
1561 R (15, 4) [0, 2]
1562 D (15, 3) [1, 3]
1563 L (14, 3) [1, 5]
1564 D (14, 2) [0, 4]
1565 R (15, 2) [0, 4]
1566 U (15, 3) [0, 4]
1567 L (14, 3) [0, 6]
1568 U (14, 4) [1, 3]
1569 L (13, 4) [1, 3]
1570 D (13, 3) [1, 5]
1571 R (14, 3) [1, 7]
1572 U (14, 4) [0, 4]
1573 L (13, 4) [0, 4]
1574 D (13, 3) [0, 6]
1575 L (12, 3) [1, 3]
1576 D (12, 2) [0, 6]
1577 L (11, 2) [1, 3]
1578 D (11, 1) [0, 4]
1579 R (12, 1) [0, 6]
1580 U (12, 2) [1, 7]
1581 R (13, 2) [1, 5]
1582 D (13, 1) [0, 4]
1583 L (12, 1) [1, 7]
1584 D (12, 0) [0, 2]
1585 L (11, 0) [0, 2]
1586 D (11, -1) [0, 0]
1587 L (10, -1) [0, 0]
1588 D (10, -2) [0, 0]
1589 L (9, -2) [0, 0]
1590 U (9, -1) [1, 1]
1591 R (10, -1) [1, 1]
1592 D (10, -2) [1, 1]
1593 R (11, -2) [0, 0]
1594 U (11, -1) [1, 1]
1595 L (10, -1) [0, 2]
1596 U (10, 0) [0, 2]
1597 R (11, 0) [1, 3]
1598 U (11, 1) [1, 5]
1599 L (10, 1) [0, 2]
1600 U (10, 2) [0, 0]
1601 L (9, 2) [1, 1]
1602 U (9, 3) [1, 1]
1603 R (10, 3) [1, 1]
1604 U (10, 4) [1, 1]
1605 R (11, 4) [0, 2]
1606 D (11, 3) [0, 2]
1607 L (10, 3) [0, 2]
1608 D (10, 2) [1, 1]
1609 L (9, 2) [0, 2]
1610 U (9, 3) [0, 2]
1611 R (10, 3) [1, 3]
1612 D (10, 2) [0, 2]
1613 R (11, 2) [0, 4]
1614 U (11, 3) [1, 3]
1615 R (12, 3) [0, 4]
1616 D (12, 2) [0, 8]
1617 L (11, 2) [1, 5]
1618 D (11, 1) [0, 6]
1619 R (12, 1) [0, 8]
1620 D (12, 0) [1, 3]
1621 R (13, 0) [1, 1]
1622 D (13, -1) [0, 0]
1623 L (12, -1) [0, 0]
1624 U (12, 0) [0, 4]
1625 L (11, 0) [0, 4]
1626 U (11, 1) [1, 7]
1627 L (10, 1) [1, 3]
1628 U (10, 2) [1, 3]
1629 L (9, 2) [1, 3]
1630 D (9, 1) [0, 2]
1631 R (10, 1) [0, 4]
1632 U (10, 2) [0, 4]
1633 R (11, 2) [0, 6]
1634 D (11, 1) [0, 8]
1635 L (10, 1) [1, 5]
1636 D (10, 0) [1, 3]
1637 L (9, 0) [0, 2]
1638 D (9, -1) [0, 2]
1639 R (10, -1) [1, 3]
1640 D (10, -2) [0, 2]
1641 L (9, -2) [1, 1]
1642 D (9, -3) [0, 0]
1643 L (8, -3) [0, 0]
1644 U (8, -2) [0, 0]
1645 R (9, -2) [0, 2]
1646 U (9, -1) [1, 3]
1647 R (10, -1) [0, 4]
1648 D (10, -2) [1, 3]
1649 R (11, -2) [1, 1]
1650 D (11, -3) [0, 0]
1651 L (10, -3) [0, 0]
1652 D (10, -4) [0, 0]
1653 L (9, -4) [0, 0]
1654 U (9, -3) [1, 1]
1655 L (8, -3) [1, 1]
1656 D (8, -4) [0, 0]
1657 R (9, -4) [1, 1]
1658 U (9, -3) [0, 2]
1659 L (8, -3) [0, 2]
1660 D (8, -4) [1, 1]
1661 R (9, -4) [0, 2]
1662 D (9, -5) [0, 0]
1663 L (8, -5) [0, 0]
1664 U (8, -4) [0, 2]
1665 L (7, -4) [0, 0]
1666 D (7, -5) [0, 0]
1667 L (6, -5) [0, 0]
1668 D (6, -6) [0, 0]
1669 L (5, -6) [0, 0]
1670 U (5, -5) [0, 0]
1671 L (4, -5) [0, 0]
1672 U (4, -4) [0, 0]
1673 R (5, -4) [0, 0]
1674 D (5, -5) [1, 1]
1675 R (6, -5) [1, 1]
1676 U (6, -4) [0, 0]
1677 R (7, -4) [1, 1]
1678 U (7, -3) [0, 0]
1679 R (8, -3) [1, 3]
1680 U (8, -2) [1, 1]
1681 L (7, -2) [0, 0]
1682 U (7, -1) [0, 0]
1683 R (8, -1) [1, 1]
1684 U (8, 0) [1, 1]
1685 R (9, 0) [1, 3]
1686 D (9, -1) [0, 4]
1687 L (8, -1) [0, 2]
1688 D (8, -2) [0, 2]
1689 L (7, -2) [1, 1]
1690 U (7, -1) [1, 1]
1691 R (8, -1) [1, 3]
1692 U (8, 0) [0, 2]
1693 R (9, 0) [0, 4]
1694 U (9, 1) [1, 3]
1695 R (10, 1) [0, 6]
1696 U (10, 2) [1, 5]
